,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
19,p9,1,0.0,142.042034,[32 75] ; [250  28],[78.37402597 28.62597403] ; [203.62597403  74.37402597],1
20,p11,1,0.0,56.922423,[43 68] ; [219  60],[74.56923077 36.43076923] ; [187.43076923  91.56923077],1
14,p2,1,0.0,38.129645,[59 52] ; [230  46],[82.89147287 28.10852713] ; [206.10852713  69.89147287],1
7,n5,1,0.0,29.418259,[61 50] ; [227  51],[82.17994859 28.82005141] ; [205.82005141  72.17994859],1
18,p8,1,0.0,25.976305,[30 79] ; [156 121],[52.52331606 56.47668394] ; [133.47668394 143.52331606],1
17,p7,1,1e-06,23.87875,[48 62] ; [192  81],[68.92950392 41.07049608] ; [171.07049608 101.92950392],1
6,r4,1,1e-06,23.197543,[72 39] ; [241  38],[89.08461538 21.91538462] ; [223.91538462  55.08461538],1
13,s8,1,2e-06,22.497701,[26 82] ; [141 137],[46.7253886 61.2746114] ; [120.2746114 157.7253886],1
8,n6,1,2e-06,22.415759,[65 46] ; [226  51],[83.25 27.75] ; [207.75  69.25],1
0,a3,1,3e-06,21.530894,[61 50] ; [218  60],[79.61182519 31.38817481] ; [199.38817481  78.61182519],1
16,p4,1,4e-06,21.344858,[44 67] ; [182  97],[64.32307692 46.67692308] ; [161.67692308 117.32307692],1
5,r3,1,1.6e-05,18.556228,[85 26] ; [255  21],[97.51937984 13.48062016] ; [242.48062016  33.51937984],1
12,s7,1,2.5e-05,17.772067,[30 70] ; [145 120],[47.94520548 52.05479452] ; [127.05479452 137.94520548],1
9,s2,1,8.5e-05,15.452172,[37 73] ; [154 122],[54.43005181 55.56994819] ; [136.56994819 139.43005181],1
1,a5,1,9.1e-05,15.314032,[64 47] ; [216  63],[79.69230769 31.30769231] ; [200.30769231  78.69230769],1
3,v4,1,0.00016,14.252305,[88 22] ; [257  19],[98.31606218 11.68393782] ; [246.68393782  29.31606218],1
15,p3,1,0.00018,14.033132,[42 69] ; [163 114],[58.64690722 52.35309278] ; [146.35309278 130.64690722],1
10,s3,1,0.000357,12.746694,[45 65] ; [167 107],[60.72916667 49.27083333] ; [151.27083333 122.72916667],1
4,r1,1,0.000424,12.422074,[69 42] ; [220  57],[82.67783505 28.32216495] ; [206.32216495  70.67783505],1
2,v1,1,0.000764,11.326845,[40 71] ; [148 121],[54.91578947 56.08421053] ; [133.08421053 135.91578947],1
11,s5,1,0.000835,11.161131,[20 86] ; [ 98 169],[33.53351206 72.46648794] ; [ 84.46648794 182.53351206],1
