,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,1e-06,24.411957,[63 44] ; [102  14],[79.17040359 27.82959641] ; [85.82959641 30.17040359],1
1,p8,1,3.6e-05,17.085262,[52 54] ; [88 28],[66.84684685 39.15315315] ; [73.15315315 42.84684685],1
