,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,1e-06,23.783486,[37 35] ; [20 94],[22.06451613 49.93548387] ; [34.93548387 79.06451613],1
1,p3,1,6e-06,20.360932,[36 36] ; [21 92],[22.18378378 49.81621622] ; [34.81621622 78.18378378],1
0,p2,1,5.3e-05,16.347999,[54 19] ; [50 64],[40.59893048 32.40106952] ; [63.40106952 50.59893048],1
