,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
24,p9,1,0.0,296.476939,[28 74] ; [451  17],[85.71578947 16.28421053] ; [393.28421053  74.71578947],1
25,p11,1,0.0,116.245334,[41 65] ; [407  62],[82.58782609 23.41217391] ; [365.41217391 103.58782609],1
15,n6,1,0.0,61.184288,[61 45] ; [414  51],[88.17863398 17.82136602] ; [386.82136602  78.17863398],1
13,r4,1,0.0,59.797167,[67 39] ; [430  39],[91.62086957 14.37913043] ; [405.37913043  63.62086957],1
12,r3,1,0.0,59.088906,[80 26] ; [452  15],[98.41535777  7.58464223] ; [433.58464223  33.41535777],1
20,p2,1,0.0,59.077307,[57 49] ; [405  63],[85.31707317 20.68292683] ; [376.68292683  91.31707317],1
9,v4,1,0.0,42.898643,[84 21] ; [451  14],[98.55263158  6.44736842] ; [436.44736842  28.55263158],1
11,r2,1,0.0,34.746736,[84 21] ; [445  18],[97.79049296  7.20950704] ; [431.20950704  31.79049296],1
23,p8,1,0.0,29.01877,[27 77] ; [255 207],[51.81625442 52.18374558] ; [230.18374558 231.81625442],1
3,a7,1,1e-06,23.688961,[56 50] ; [358 111],[76.32 29.68] ; [337.68 131.32],1
14,n5,1,6e-06,20.419696,[57 49] ; [352 113],[75.92644483 30.07355517] ; [333.07355517 131.92644483],1
8,v2,1,7e-06,20.218763,[37 66] ; [272 179],[57.44945848 45.55054152] ; [251.55054152 199.44945848],1
10,r1,1,9e-06,19.653668,[64 42] ; [376  91],[81.39616056 24.60383944] ; [358.60383944 108.39616056],1
17,s6,1,2e-05,18.153595,[49 54] ; [321 140],[67.57092199 35.42907801] ; [302.42907801 158.57092199],1
19,s8,1,4.2e-05,16.786236,[23 80] ; [206 260],[41.45342707 61.54657293] ; [187.54657293 278.45342707],1
5,d3,1,6.1e-05,16.057705,[55 50] ; [339 129],[72.19895288 32.80104712] ; [321.80104712 146.19895288],1
21,p4,1,6.6e-05,15.928555,[41 65] ; [279 186],[59.40455342 46.59544658] ; [260.59544658 204.40455342],1
2,a6,1,8.1e-05,15.534124,[53 52] ; [330 138],[70.18324607 34.81675393] ; [312.81675393 155.18324607],1
18,s7,1,0.000128,14.669987,[26 69] ; [220 230],[42.88073394 52.11926606] ; [203.11926606 246.88073394],1
7,v1,1,0.000136,14.559254,[37 69] ; [254 204],[54.69148936 51.30851064] ; [236.30851064 221.69148936],1
22,p7,1,0.000141,14.484276,[47 59] ; [293 162],[64.24242424 41.75757576] ; [275.75757576 179.24242424],1
16,s2,1,0.000184,13.98385,[33 72] ; [240 225],[50.28947368 54.71052632] ; [222.71052632 242.28947368],1
4,d1,1,0.000206,13.771067,[43 63] ; [283 186],[60.0973913 45.9026087] ; [265.9026087 203.0973913],1
6,d5,1,0.000391,12.575148,[71 34] ; [388  80],[84.10994764 20.89005236] ; [374.89005236  93.10994764],1
0,a1,1,0.00086,11.10671,[10 96] ; [ 12 457],[  4.05565217 101.94434783] ; [ 17.94434783 451.05565217],1
1,a5,1,0.000939,10.943919,[60 46] ; [342 127],[74.10782609 31.89217391] ; [327.89217391 141.10782609],1
