,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p10,1,0.0,71.029656,[122 115] ; [469 113],[171.02197802  65.97802198] ; [419.97802198 162.02197802],1
10,p9,1,0.0,70.364496,[137  97] ; [497  84],[182.03190184  51.96809816] ; [451.96809816 129.03190184],1
2,r3,1,0.0,46.228945,[192  50] ; [558  31],[218.41155235  23.58844765] ; [531.58844765  57.41155235],1
5,n6,1,0.0,42.175042,[156  85] ; [497  88],[190.52421308  50.47578692] ; [462.47578692 122.52421308],1
6,p2,1,0.0,41.937945,[149  94] ; [485 104],[185.17067308  57.82932692] ; [448.82932692 140.17067308],1
3,r4,1,0.0,34.263134,[175  70] ; [523  71],[203.82598331  41.17401669] ; [494.17401669  99.82598331],1
9,p8,1,0.0,30.870871,[ 71 169] ; [295 286],[106.99147381 133.00852619] ; [259.00852619 321.99147381],1
1,v4,1,2e-06,23.125176,[203  40] ; [553  35],[221.06859206  21.93140794] ; [534.93140794  53.06859206],1
8,p7,1,0.000173,14.103962,[107 131] ; [339 232],[131.20889988 106.79110012] ; [314.79110012 256.20889988],1
0,v2,1,0.000239,13.497936,[101 134] ; [326 244],[124.65217391 110.34782609] ; [302.34782609 267.65217391],1
7,p4,1,0.000506,12.09451,[101 140] ; [323 262],[123.7094431 117.2905569] ; [300.2905569 284.7094431],1
4,n4,1,0.000698,11.49552,[150  93] ; [434 156],[170.36254502  72.63745498] ; [413.63745498 176.36254502],1
