,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
21,p9,1,0.0,107.802873,[217  45] ; [32 83],[173.04509284  88.95490716] ; [75.95490716 39.04509284],1
15,p2,1,0.0,44.299167,[214  48] ; [57 61],[186.84736842  75.15263158] ; [84.15263158 33.84736842],1
19,p7,1,0.0,42.528447,[185  74] ; [42 75],[156.3643617 102.6356383] ; [70.6356383 46.3643617],1
20,p8,1,0.0,38.462584,[155 105] ; [29 87],[127.23404255 132.76595745] ; [56.76595745 59.23404255],1
5,r3,1,0.0,36.926727,[249  14] ; [85 32],[231.16315789  31.83684211] ; [102.83684211  14.16315789],1
6,r4,1,0.0,34.022813,[232  34] ; [72 46],[210.58333333  55.41666667] ; [93.41666667 24.58333333],1
14,s8,1,0.0,31.96665,[126 137] ; [20 96],[101.31398417 161.68601583] ; [44.68601583 71.31398417],1
3,v4,1,0.0,25.935142,[246  17] ; [87 29],[231.07915567  31.92084433] ; [101.92084433  14.07915567],1
9,n6,1,1e-06,25.132135,[213  53] ; [64 52],[192.88481675  73.11518325] ; [84.11518325 31.88481675],1
17,p4,1,2e-06,22.935448,[169  95] ; [44 73],[147.59055118 116.40944882] ; [65.40944882 51.59055118],1
8,n5,1,2e-06,22.695425,[212  54] ; [65 51],[192.88481675  73.11518325] ; [84.11518325 31.88481675],1
18,p6,1,3e-06,21.662582,[110 149] ; [20 94],[ 90.26809651 168.73190349] ; [39.73190349 74.26809651],1
7,n4,1,5e-06,20.960443,[217  49] ; [69 47],[199.15183246  66.84816754] ; [86.84816754 29.15183246],1
16,p3,1,3.1e-05,17.339768,[153 110] ; [41 76],[134.26842105 128.73157895] ; [59.73157895 57.26842105],1
1,v1,1,9.6e-05,15.206013,[141 115] ; [39 78],[123.53887399 132.46112601] ; [56.46112601 60.53887399],1
4,r1,1,9.7e-05,15.201048,[208  56] ; [69 47],[192.44210526  71.55789474] ; [84.55789474 31.44210526],1
2,v2,1,0.000378,12.636144,[137 113] ; [40 75],[121.23287671 128.76712329] ; [55.76712329 59.23287671],1
10,s2,1,0.000538,11.97813,[133 129] ; [37 80],[117.51978892 144.48021108] ; [52.48021108 64.51978892],1
0,a5,1,0.000679,11.546272,[205  61] ; [71 47],[191.1875  74.8125] ; [84.8125 33.1875],1
11,s5,1,0.000782,11.282856,[ 80 173] ; [17 97],[ 66.86920981 186.13079019] ; [30.13079019 83.86920981],1
13,s7,1,0.000846,11.13689,[123 130] ; [32 76],[108.62880886 144.37119114] ; [46.37119114 61.62880886],1
12,s6,1,0.000851,11.125902,[162  94] ; [52 64],[147.2688172 108.7311828] ; [66.7311828 49.2688172],1
