,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,98.067992,[457  17] ; [74 38],[429.51194539  44.48805461] ; [101.48805461  10.51194539],1
6,p2,1,0.0,35.091104,[411  63] ; [74 43],[388.98477157  85.01522843] ; [96.01522843 20.98477157],1
5,n6,1,0.0,33.001432,[420  51] ; [78 37],[400.26962457  70.73037543] ; [97.73037543 17.26962457],1
1,r3,1,1e-06,24.236942,[458  15] ; [98 17],[447.2585034  25.7414966] ; [108.7414966   6.2585034],1
0,v4,1,2e-06,22.472511,[457  14] ; [100  16],[446.92844974  24.07155026] ; [110.07155026   5.92844974],1
2,r4,1,1.4e-05,18.856393,[436  39] ; [91 26],[422.84628378  52.15371622] ; [104.15371622  12.84628378],1
4,n5,1,0.000132,14.611067,[358 113] ; [67 48],[341.59556314 129.40443686] ; [83.40443686 31.59556314],1
9,p7,1,0.000141,14.493338,[298 163] ; [51 62],[280.29442509 180.70557491] ; [68.70557491 44.29442509],1
3,n4,1,0.000151,14.360381,[366 109] ; [68 46],[350. 125.] ; [84. 30.],1
8,p4,1,0.000165,14.193511,[284 187] ; [47 68],[266.04266212 204.95733788] ; [64.95733788 50.04266212],1
10,p8,1,0.000557,11.91395,[259 209] ; [43 72],[242.42881647 225.57118353] ; [59.57118353 55.42881647],1
7,p3,1,0.000921,10.979186,[228 246] ; [36 80],[212.09491525 261.90508475] ; [51.90508475 64.09491525],1
