,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,5.6e-05,16.239699,[12  1] ; [170 288],[5.02335456 7.97664544] ; [176.97664544 281.02335456],1
1,b3,1,5.6e-05,16.239699,[12  1] ; [170 288],[5.02335456 7.97664544] ; [176.97664544 281.02335456],1
3,s8,1,0.000461,12.26869,[12  1] ; [317 410],[5.77972973 7.22027027] ; [323.22027027 403.77972973],1
2,a2,1,0.000505,12.098612,[8 5] ; [156 578],[ 2.854083 10.145917] ; [161.145917 572.854083],1
