,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
12,p10,1,0.0,58.885717,[62 50] ; [618 104],[91.31894484 20.68105516] ; [588.68105516 133.31894484],1
6,p2,1,0.0,34.485057,[74 43] ; [620 105],[96.43467933 20.56532067] ; [597.56532067 127.43467933],1
11,p9,1,0.0,33.721589,[74 38] ; [631  91],[94.67625899 17.32374101] ; [610.32374101 111.67625899],1
1,r3,1,1e-06,23.560287,[98 17] ; [701  28],[108.86848341   6.13151659] ; [690.13151659  38.86848341],1
5,n6,1,1e-06,23.22301,[78 37] ; [624 103],[95.87885986 19.12114014] ; [606.12114014 120.87885986],1
3,n4,1,1.3e-05,18.983345,[68 46] ; [574 158],[86.5106383 27.4893617] ; [555.4893617 176.5106383],1
9,p7,1,1.7e-05,18.523279,[51 62] ; [469 240],[71.48418491 41.51581509] ; [448.51581509 260.48418491],1
4,n5,1,4.3e-05,16.740117,[67 48] ; [554 172],[84.91676576 30.08323424] ; [536.08323424 189.91676576],1
8,p4,1,7.2e-05,15.769614,[47 68] ; [439 286],[66.53571429 48.46428571] ; [419.46428571 305.53571429],1
7,p3,1,0.00013,14.64136,[36 80] ; [365 363],[55.11374408 60.88625592] ; [345.88625592 382.11374408],1
0,v4,1,0.000165,14.189302,[100  16] ; [692  35],[108.98220641   7.01779359] ; [683.01779359  43.98220641],1
10,p8,1,0.000216,13.682507,[43 72] ; [401 316],[61.37019231 53.62980769] ; [382.62980769 334.37019231],1
2,r4,1,0.000376,12.648468,[91 26] ; [656  78],[102.70152761  14.29847239] ; [644.29847239  89.70152761],1
