,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
21,p9,1,0.0,154.801036,[32 83] ; [250  28],[82.51908397 32.48091603] ; [199.48091603  78.51908397],1
15,p2,1,0.0,51.269429,[57 61] ; [230  46],[85.95431472 32.04568528] ; [201.04568528  74.95431472],1
19,p7,1,0.0,40.457875,[42 75] ; [192  81],[70.2 46.8] ; [163.8 109.2],1
14,s8,1,0.0,37.960978,[20 96] ; [141 137],[47.40101523 68.59898477] ; [113.59898477 164.40101523],1
20,p8,1,0.0,32.186568,[29 87] ; [156 121],[54.60559796 61.39440204] ; [130.39440204 146.60559796],1
6,r4,1,0.0,31.978171,[72 46] ; [241  38],[93.03274559 24.96725441] ; [219.96725441  59.03274559],1
9,n6,1,0.0,29.500563,[64 52] ; [226  51],[85.59796438 30.40203562] ; [204.40203562  72.59796438],1
8,n5,1,0.0,28.001468,[65 51] ; [227  51],[85.96954315 30.03045685] ; [206.03045685  71.96954315],1
5,r3,1,0.0,27.447526,[85 32] ; [255  21],[101.22137405  15.77862595] ; [238.77862595  37.22137405],1
17,p4,1,0.0,25.678416,[44 73] ; [182  97],[66.77272727 50.22727273] ; [159.22727273 119.77272727],1
3,v4,1,1e-06,24.944529,[87 29] ; [257  19],[101.79591837  14.20408163] ; [242.20408163  33.79591837],1
18,p6,1,5e-06,20.956265,[20 94] ; [115 160],[39.56298201 74.43701799] ; [ 95.43701799 179.56298201],1
13,s7,1,1.1e-05,19.366839,[32 76] ; [145 120],[51.24932976 56.75067024] ; [125.75067024 139.24932976],1
10,s2,1,1.2e-05,19.220734,[37 80] ; [154 122],[56.86259542 60.13740458] ; [134.13740458 141.86259542],1
16,p3,1,1.6e-05,18.664059,[41 76] ; [163 114],[60.5786802 56.4213198] ; [143.4213198 133.5786802],1
11,s5,1,2.2e-05,18.003187,[17 97] ; [ 98 169],[34.40944882 79.59055118] ; [ 80.59055118 186.40944882],1
7,n4,1,2.5e-05,17.767941,[69 47] ; [223  56],[85.75189873 30.24810127] ; [206.24810127  72.75189873],1
12,s6,1,4.3e-05,16.727743,[52 64] ; [181  89],[70.02072539 45.97927461] ; [162.97927461 107.02072539],1
4,r1,1,4.4e-05,16.704484,[69 47] ; [220  57],[85.30279898 30.69720102] ; [203.69720102  73.30279898],1
2,v1,1,8.9e-05,15.351817,[39 78] ; [148 121],[56.68134715 60.31865285] ; [130.31865285 138.68134715],1
0,a3,1,9.3e-05,15.272395,[68 47] ; [218  60],[83.68956743 31.31043257] ; [202.31043257  75.68956743],1
1,a5,1,0.000448,12.318943,[71 47] ; [216  63],[85.30478589 32.69521411] ; [201.69521411  77.30478589],1
