,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,50.430277,[39 83] ; [192  82],[71.16666667 50.83333333] ; [159.83333333 114.16666667],1
1,p6,1,0.0,27.727107,[28 91] ; [143 131],[51.77862595 67.22137405] ; [119.22137405 154.77862595],1
