,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,53.600878,[ 27 380] ; [29 55],[ 46.41955193 360.58044807] ; [ 9.58044807 74.41955193],1
4,p12,1,0.0,35.738911,[ 25 383] ; [23 61],[ 39.80487805 368.19512195] ; [ 8.19512195 75.80487805],1
1,p3,1,5.4e-05,16.306404,[262 145] ; [73 11],[277.68839104 129.31160896] ; [57.31160896 26.68839104],1
3,p8,1,0.00032,12.951313,[255 150] ; [70 14],[269.17177914 135.82822086] ; [55.82822086 28.17177914],1
2,p6,1,0.000695,11.501327,[191 215] ; [56 27],[205.07566462 200.92433538] ; [41.92433538 41.07566462],1
