,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p9,1,0.0,122.483687,[242  28] ; [17 49],[208.125  61.875] ; [50.875 15.125],1
12,p2,1,0.0,42.794158,[224  44] ; [31 37],[203.39285714  64.60714286] ; [51.60714286 16.39285714],1
16,p8,1,0.0,33.2708,[150 119] ; [11 56],[128.89583333 140.10416667] ; [32.10416667 34.89583333],1
15,p7,1,0.0,29.001131,[187  78] ; [24 44],[167.91291291  97.08708709] ; [43.08708709 24.91291291],1
6,r4,1,0.0,26.5715,[234  37] ; [40 28],[219.03834808  51.96165192] ; [54.96165192 13.03834808],1
5,r3,1,0.0,26.492815,[248  21] ; [47 21],[235.47477745  33.52522255] ; [59.52522255  8.47477745],1
3,v4,1,4e-06,21.465073,[250  19] ; [49 18],[239.37797619  29.62202381] ; [59.62202381  7.37797619],1
11,s8,1,4e-06,21.346239,[134 136] ; [12 54],[117.32142857 152.67857143] ; [28.67857143 37.32142857],1
8,n6,1,1.4e-05,18.816418,[218  51] ; [38 30],[204.34421365  64.65578635] ; [51.65578635 16.34421365],1
13,p4,1,3.1e-05,17.380587,[175  96] ; [25 43],[159.8820059 111.1179941] ; [40.1179941 27.8820059],1
4,r1,1,7.6e-05,15.648203,[214  56] ; [38 30],[201.30177515  68.69822485] ; [50.69822485 17.30177515],1
14,p6,1,0.000207,13.766967,[110 157] ; [11 55],[ 97.01801802 169.98198198] ; [23.98198198 42.01801802],1
1,v1,1,0.000218,13.665021,[144 120] ; [20 48],[130.40963855 133.59036145] ; [33.59036145 34.40963855],1
7,n5,1,0.000271,13.260425,[219  51] ; [41 27],[207.69230769  62.30769231] ; [52.30769231 15.69230769],1
9,s2,1,0.000281,13.19258,[147 122] ; [20 47],[133.69940476 135.30059524] ; [33.30059524 33.69940476],1
0,a3,1,0.000631,11.682,[210  60] ; [39 29],[198.90532544  71.09467456] ; [50.09467456 17.90532544],1
10,s5,1,0.000849,11.130667,[ 96 166] ; [10 56],[ 84.67073171 177.32926829] ; [21.32926829 44.67073171],1
2,v2,1,0.000935,10.952078,[136 123] ; [20 47],[123.93865031 135.06134969] ; [32.06134969 34.93865031],1
