,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,0.0,26.089092,[ 7 72] ; [23 24],[18.80952381 60.19047619] ; [11.19047619 35.80952381],1
2,p6,1,9e-06,19.626923,[ 4 74] ; [17 31],[13. 65.] ; [ 8. 40.],1
0,p2,1,5.1e-05,16.398187,[30 49] ; [36 12],[41.05511811 37.94488189] ; [24.94488189 23.05511811],1
4,p10,1,0.000398,12.543229,[10 68] ; [19 28],[18.096 59.904] ; [10.904 36.096],1
1,p4,1,0.000766,11.321154,[14 64] ; [22 26],[22.28571429 55.71428571] ; [13.71428571 34.28571429],1
