,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p12,1,7e-06,20.279526,[  3 100] ; [3 4],[ 5.61818182 97.38181818] ; [0.38181818 6.61818182],1
1,p5,1,4e-05,16.892616,[  4 100] ; [3 4],[ 6.55855856 97.44144144] ; [0.44144144 6.55855856],1
0,a2,1,0.000146,14.428341,[15 89] ; [5 2],[18.73873874 85.26126126] ; [1.26126126 5.73873874],1
