,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,3.2e-05,17.268672,[ 17 116] ; [5 2],[ 20.9 112.1] ; [1.1 5.9],1
1,p7,1,0.000117,14.848308,[ 27 100] ; [6 1],[31.2761194 95.7238806] ; [1.7238806 5.2761194],1
0,p6,1,0.000377,12.64373,[ 14 117] ; [4 3],[ 17.08695652 113.91304348] ; [0.91304348 6.08695652],1
3,p12,1,0.000441,12.350883,[  8 124] ; [3 4],[ 10.44604317 121.55395683] ; [0.55395683 6.44604317],1
