,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b1,1,0.000562,11.896825,[46 47] ; [116 264],[31.85200846 61.14799154] ; [130.14799154 249.85200846],1
1,p1,1,0.000898,11.026439,[12 81] ; [ 15 363],[ 5.33121019 87.66878981] ; [ 21.66878981 356.33121019],1
