,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,25.910012,[66 12] ; [ 8 17],[56.03883495 21.96116505] ; [17.96116505  7.03883495],1
3,p9,1,1.6e-05,18.598942,[74  4] ; [16 10],[67.5 10.5] ; [22.5  3.5],1
4,p10,1,3.6e-05,17.087221,[72  6] ; [15 11],[65.25 12.75] ; [21.75  4.25],1
1,p7,1,0.000235,13.526167,[65 12] ; [12 13],[58.12745098 18.87254902] ; [18.87254902  6.12745098],1
0,p6,1,0.000313,12.990145,[53 24] ; [ 7 18],[45.29411765 31.70588235] ; [14.70588235 10.29411765],1
