,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,47.160507,[40 18] ; [11 74],[20.68531469 37.31468531] ; [30.31468531 54.68531469],1
0,p2,1,0.0,25.600456,[48 11] ; [33 52],[33.1875 25.8125] ; [47.8125 37.1875],1
2,p6,1,0.000647,11.636727,[14 44] ; [ 4 80],[ 7.35211268 50.64788732] ; [10.64788732 73.35211268],1
