,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,51.367773,[54 62] ; [154  26],[81.51351351 34.48648649] ; [126.48648649  53.51351351],1
3,p7,1,1e-05,19.490267,[74 38] ; [156  22],[88.82758621 23.17241379] ; [141.17241379  36.82758621],1
2,p6,1,0.000128,14.669775,[36 82] ; [94 83],[52. 66.] ; [78. 99.],1
1,p5,1,0.000299,13.078351,[  8 109] ; [ 41 139],[19.3030303 97.6969697] ; [ 29.6969697 150.3030303],1
