,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,2e-06,22.474914,[31 63] ; [ 19 169],[16.66666667 77.33333333] ; [ 33.33333333 154.66666667],1
0,p2,1,4.8e-05,16.527305,[71 23] ; [95 94],[55.13780919 38.86219081] ; [110.86219081  78.13780919],1
2,p6,1,0.000141,14.49345,[22 71] ; [ 14 173],[11.95714286 81.04285714] ; [ 24.04285714 162.95714286],1
