,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,114.898655,[ 67 221] ; [291 167],[138.20911528 149.79088472] ; [219.79088472 238.20911528],1
1,p6,1,0.0,54.62828,[ 52 227] ; [207 248],[ 98.44822888 180.55177112] ; [160.55177112 294.44822888],1
3,p8,1,0.0,30.619857,[110 169] ; [275 180],[146.34196185 132.65803815] ; [238.65803815 216.34196185],1
2,p7,1,7e-06,20.062058,[150 126] ; [321 133],[178.07671233  97.92328767] ; [292.92328767 161.07671233],1
