,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,39.788144,[183 336] ; [459 412],[239.71079137 279.28920863] ; [402.28920863 468.71079137],1
2,p7,1,4.1e-05,16.81933,[237 266] ; [501 354],[273.35346097 229.64653903] ; [464.64653903 390.35346097],1
3,p8,1,0.000168,14.160523,[184 329] ; [399 464],[217.35392442 295.64607558] ; [365.64607558 497.35392442],1
1,p6,1,0.000452,12.305698,[118 398] ; [273 589],[146.41219158 369.58780842] ; [244.58780842 617.41219158],1
