,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,34.812048,[29 89] ; [55 28],[49.31343284 68.68656716] ; [34.68656716 48.31343284],1
0,p2,1,8e-06,19.843605,[55 63] ; [64 18],[70.21 47.79] ; [48.79 33.21],1
2,p6,1,0.000547,11.949109,[ 16 102] ; [28 54],[25.96 92.04] ; [18.04 63.96],1
3,p9,1,0.00096,10.903439,[64 51] ; [65 18],[74.92424242 40.07575758] ; [54.07575758 28.92424242],1
