,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,0.0,33.622162,[ 19 110] ; [46 44],[38.28767123 90.71232877] ; [26.71232877 63.28767123],1
0,p2,1,1.4e-05,18.928606,[61 68] ; [71 22],[76.7027027 52.2972973] ; [55.2972973 37.7027027],1
2,p6,1,3.4e-05,17.167792,[ 17 109] ; [34 56],[29.75 96.25] ; [21.25 68.75],1
1,p3,1,0.000723,11.429975,[29 99] ; [41 52],[40.54298643 87.45701357] ; [29.45701357 63.54298643],1
