,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p9,1,0.0,118.129262,[150  10] ; [28 68],[111.25  48.75] ; [66.75 29.25],1
2,p11,1,0.0,28.022105,[123  39] ; [43 56],[103.03448276  58.96551724] ; [62.96551724 36.03448276],1
0,p2,1,1e-06,23.962523,[118  44] ; [42 57],[99.31034483 62.68965517] ; [60.68965517 38.31034483],1
