,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p5,1,7e-06,20.238998,[3 4] ; [ 1 63],[0.3943662 6.6056338] ; [ 3.6056338 60.3943662],1
3,p12,1,0.00011,14.957265,[3 4] ; [ 2 61],[0.5 6.5] ; [ 4.5 58.5],1
1,p3,1,0.00011,14.951146,[6 1] ; [12 52],[1.77464789 5.22535211] ; [16.22535211 47.77464789],1
0,a2,1,0.000293,13.117277,[5 2] ; [ 9 55],[1.38028169 5.61971831] ; [12.61971831 51.38028169],1
