,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p5,1,7e-06,20.238998,[ 1 63] ; [3 4],[ 3.6056338 60.3943662] ; [0.3943662 6.6056338],1
3,p12,1,0.00011,14.957265,[ 2 61] ; [3 4],[ 4.5 58.5] ; [0.5 6.5],1
1,p3,1,0.00011,14.951146,[12 52] ; [6 1],[16.22535211 47.77464789] ; [1.77464789 5.22535211],1
0,a2,1,0.000293,13.117277,[ 9 55] ; [5 2],[12.61971831 51.38028169] ; [1.38028169 5.61971831],1
