,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,3e-06,21.610268,[41 75] ; [33 10],[53.98742138 62.01257862] ; [20.01257862 22.98742138],1
2,p11,1,1.5e-05,18.740761,[55 64] ; [37  7],[67.16564417 51.83435583] ; [24.83435583 19.16564417],1
0,p2,1,0.000175,14.079834,[55 63] ; [35  9],[65.55555556 52.44444444] ; [24.44444444 19.55555556],1
