,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,70.205004,[35 76] ; [261  86],[71.73799127 39.26200873] ; [224.26200873 122.73799127],1
1,p6,1,0.0,33.36152,[26 84] ; [190 154],[52.33480176 57.66519824] ; [163.66519824 180.33480176],1
0,p2,1,3e-06,21.956353,[82 29] ; [317  31],[96.49019608 14.50980392] ; [302.50980392  45.49019608],1
3,p10,1,0.000223,13.628259,[81 29] ; [306  41],[93.15098468 16.84901532] ; [293.84901532  53.15098468],1
