,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,157.398837,[32 75] ; [497  84],[82.27180233 24.72819767] ; [446.72819767 134.27180233],1
14,p11,1,0.0,84.449046,[43 68] ; [478 116],[82.02978723 28.97021277] ; [438.97021277 155.02978723],1
11,p2,1,0.0,45.948896,[59 52] ; [485 104],[86.26285714 24.73714286] ; [457.73714286 131.26285714],1
10,n6,1,0.0,41.822719,[65 46] ; [497  88],[89.62931034 21.37068966] ; [472.37068966 112.62931034],1
7,r3,1,0.0,41.180809,[85 26] ; [558  31],[101.96142857   9.03857143] ; [541.03857143  47.96142857],1
8,r4,1,0.0,38.168134,[72 39] ; [523  71],[93.68085106 17.31914894] ; [501.31914894  92.68085106],1
4,v4,1,1e-06,24.383609,[88 22] ; [553  35],[101.01719198   8.98280802] ; [539.98280802  48.01719198],1
6,r2,1,1e-06,24.240853,[89 21] ; [551  32],[101.58730159   8.41269841] ; [538.41269841  44.58730159],1
1,a7,1,6e-06,20.619829,[59 52] ; [440 151],[78.9017094 32.0982906] ; [420.0982906 170.9017094],1
12,p8,1,8e-06,19.915024,[30 79] ; [295 286],[51.34057971 57.65942029] ; [273.65942029 307.34057971],1
0,a6,1,8.8e-05,15.382131,[55 55] ; [410 182],[72.86324786 37.13675214] ; [392.13675214 199.86324786],1
3,v2,1,0.000236,13.522634,[41 67] ; [326 244],[58.46017699 49.53982301] ; [308.53982301 261.46017699],1
5,r1,1,0.000324,12.92461,[69 42] ; [461 129],[83.92296719 27.07703281] ; [446.07703281 143.92296719],1
2,d3,1,0.000358,12.739678,[58 52] ; [415 177],[74.11680912 35.88319088] ; [398.88319088 193.11680912],1
9,n5,1,0.000608,11.752227,[61 50] ; [417 167],[76.34244604 34.65755396] ; [401.65755396 182.34244604],1
