,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p10,1,0.0,68.786569,[69 22] ; [ 7 63],[42.95652174 48.04347826] ; [33.04347826 36.95652174],1
0,p2,1,9e-06,19.628831,[65 26] ; [26 45],[51.11728395 39.88271605] ; [39.88271605 31.11728395],1
1,p6,1,0.000511,12.075,[29 63] ; [ 6 63],[20. 72.] ; [15. 54.],1
