,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p3,1,0.0,32.372262,[ 32 101] ; [64 42],[53.42259414 79.57740586] ; [42.57740586 63.42259414],1
1,p2,1,2e-06,22.649242,[72 61] ; [89 18],[89.22083333 43.77916667] ; [71.77916667 35.22083333],1
3,p8,1,3.3e-05,17.252457,[ 31 102] ; [52 54],[46.18828452 86.81171548] ; [36.81171548 69.18828452],1
0,p1,1,0.000708,11.469046,[  2 131] ; [13 94],[  8.3125 124.6875] ; [  6.6875 100.3125],1
