,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,0.0,48.142494,[51 16] ; [10 54],[31.19847328 35.80152672] ; [29.80152672 34.19847328],1
0,p2,1,0.000439,12.360216,[42 24] ; [21 43],[31.98461538 34.01538462] ; [31.01538462 32.98461538],1
