,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.000462,12.262628,[47 74] ; [156 113],[62.98205128 58.01794872] ; [140.01794872 128.98205128],1
2,p8,1,0.000543,11.963454,[45 77] ; [150 119],[60.84398977 61.15601023] ; [134.15601023 134.84398977],1
0,n5,1,0.000682,11.538291,[79 42] ; [219  51],[92.21994885 28.78005115] ; [205.78005115  64.21994885],1
