,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,79.859618,[17 49] ; [207  45],[46.49056604 19.50943396] ; [177.50943396  74.49056604],1
12,p8,1,0.0,39.41502,[11 56] ; [149 101],[33.8170347 33.1829653] ; [126.1829653 123.8170347],1
8,p2,1,0.0,38.67581,[31 37] ; [208  44],[50.7875 17.2125] ; [188.2125  63.7875],1
4,r3,1,0.0,35.637567,[47 21] ; [240  14],[60.60869565  7.39130435] ; [226.39130435  27.60869565],1
11,p7,1,0.0,31.319323,[24 44] ; [180  70],[43.62264151 24.37735849] ; [160.37735849  89.62264151],1
5,r4,1,0.0,28.128504,[40 28] ; [223  33],[55.19753086 12.80246914] ; [207.80246914  48.19753086],1
2,v4,1,1e-06,23.67946,[49 18] ; [238  16],[59.90342679  7.09657321] ; [227.09657321  26.90342679],1
7,s8,1,2.8e-05,17.557955,[12 54] ; [118 135],[26.89655172 39.10344828] ; [103.10344828 149.89655172],1
6,n6,1,6e-05,16.106694,[38 30] ; [204  52],[50.79012346 17.20987654] ; [191.20987654  64.79012346],1
9,p4,1,6.1e-05,16.077826,[25 43] ; [162  92],[39.49068323 28.50931677] ; [147.50931677 106.49068323],1
10,p6,1,0.000134,14.584499,[11 55] ; [105 144],[24.3047619 41.6952381] ; [ 91.6952381 157.3047619],1
3,r1,1,0.000175,14.077031,[38 30] ; [200  55],[50.10526316 17.89473684] ; [187.89473684  67.10526316],1
0,v1,1,0.000229,13.578423,[20 48] ; [136 113],[33.4637224 34.5362776] ; [122.5362776 126.4637224],1
1,v2,1,0.000389,12.583997,[20 47] ; [132 111],[32.8516129 34.1483871] ; [119.1483871 123.8516129],1
