,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,79.859618,[207  45] ; [17 49],[177.50943396  74.49056604] ; [46.49056604 19.50943396],1
12,p8,1,0.0,39.41502,[149 101] ; [11 56],[126.1829653 123.8170347] ; [33.8170347 33.1829653],1
8,p2,1,0.0,38.67581,[208  44] ; [31 37],[188.2125  63.7875] ; [50.7875 17.2125],1
4,r3,1,0.0,35.637567,[240  14] ; [47 21],[226.39130435  27.60869565] ; [60.60869565  7.39130435],1
11,p7,1,0.0,31.319323,[180  70] ; [24 44],[160.37735849  89.62264151] ; [43.62264151 24.37735849],1
5,r4,1,0.0,28.128504,[223  33] ; [40 28],[207.80246914  48.19753086] ; [55.19753086 12.80246914],1
2,v4,1,1e-06,23.67946,[238  16] ; [49 18],[227.09657321  26.90342679] ; [59.90342679  7.09657321],1
7,s8,1,2.8e-05,17.557955,[118 135] ; [12 54],[103.10344828 149.89655172] ; [26.89655172 39.10344828],1
6,n6,1,6e-05,16.106694,[204  52] ; [38 30],[191.20987654  64.79012346] ; [50.79012346 17.20987654],1
9,p4,1,6.1e-05,16.077826,[162  92] ; [25 43],[147.50931677 106.49068323] ; [39.49068323 28.50931677],1
10,p6,1,0.000134,14.584499,[105 144] ; [11 55],[ 91.6952381 157.3047619] ; [24.3047619 41.6952381],1
3,r1,1,0.000175,14.077031,[200  55] ; [38 30],[187.89473684  67.10526316] ; [50.10526316 17.89473684],1
0,v1,1,0.000229,13.578423,[136 113] ; [20 48],[122.5362776 126.4637224] ; [33.4637224 34.5362776],1
1,v2,1,0.000389,12.583997,[132 111] ; [20 47],[119.1483871 123.8516129] ; [32.8516129 34.1483871],1
