,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,308.866986,[457  17] ; [32 83],[393.524618  80.475382] ; [95.475382 19.524618],1
18,p2,1,0.0,84.151599,[411  63] ; [57 61],[374.71621622  99.28378378] ; [93.28378378 24.71621622],1
8,r3,1,0.0,74.797049,[458  15] ; [85 32],[435.32033898  37.67966102] ; [107.67966102   9.32033898],1
12,n6,1,0.0,74.36713,[420  51] ; [64 52],[388.35434412  82.64565588] ; [95.64565588 20.35434412],1
9,r4,1,0.0,72.891003,[436  39] ; [72 46],[406.91399663  68.08600337] ; [101.08600337  16.91399663],1
5,v4,1,0.0,66.524871,[457  14] ; [87 29],[436.49744463  34.50255537] ; [107.50255537   8.49744463],1
22,p8,1,0.0,34.238716,[259 209] ; [29 87],[230.79452055 237.20547945] ; [57.20547945 58.79452055],1
21,p7,1,0.0,31.832643,[298 163] ; [42 75],[271.17647059 189.82352941] ; [68.82352941 48.17647059],1
7,r2,1,0.0,30.826811,[451  18] ; [94 21],[437.67979452  31.32020548] ; [107.32020548   7.67979452],1
17,s8,1,0.0,29.441625,[211 261] ; [20 96],[185.42857143 286.57142857] ; [45.57142857 70.42857143],1
15,s6,1,0.0,25.927601,[327 140] ; [52 64],[303.59005146 163.40994854] ; [75.40994854 40.59005146],1
4,v2,1,1e-06,25.067772,[277 179] ; [40 75],[253.1558669 202.8441331] ; [63.8441331 51.1558669],1
6,r1,1,2e-06,22.930281,[381  92] ; [69 47],[361.37521222 111.62478778] ; [88.62478778 27.37521222],1
19,p4,1,1e-05,19.562362,[284 187] ; [44 73],[262.73469388 208.26530612] ; [65.26530612 51.73469388],1
3,v1,1,1.2e-05,19.106638,[259 204] ; [39 78],[237.8862069 225.1137931] ; [60.1137931 56.8862069],1
14,s5,1,1.7e-05,18.538465,[164 293] ; [17 97],[144.86339755 312.13660245] ; [36.13660245 77.86339755],1
11,n5,1,1.7e-05,18.444348,[358 113] ; [65 51],[339.4088586 131.5911414] ; [83.5911414 32.4088586],1
13,s2,1,9.2e-05,15.297256,[244 227] ; [37 80],[225.08673469 245.91326531] ; [55.91326531 61.08673469],1
10,n4,1,0.000119,14.813663,[366 109] ; [69 47],[349.61928934 125.38071066] ; [85.38071066 30.61928934],1
20,p6,1,0.00019,13.923374,[168 302] ; [20 94],[151.30136986 318.69863014] ; [36.69863014 77.30136986],1
16,s7,1,0.000217,13.679762,[225 231] ; [32 76],[207.78723404 248.21276596] ; [49.21276596 58.78723404],1
0,a7,1,0.000688,11.520681,[362 113] ; [71 46],[347.42398649 127.57601351] ; [85.57601351 31.42398649],1
2,d5,1,0.000882,11.061124,[393  81] ; [81 36],[380.16243655  93.83756345] ; [93.83756345 23.16243655],1
1,d4,1,0.000959,10.904701,[395  79] ; [81 35],[382.41355932  91.58644068] ; [93.58644068 22.41355932],1
