,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p8,1,0.0,33.622162,[46 44] ; [ 19 110],[26.71232877 63.28767123] ; [38.28767123 90.71232877],1
0,p2,1,1.4e-05,18.928606,[71 22] ; [61 68],[55.2972973 37.7027027] ; [76.7027027 52.2972973],1
2,p6,1,3.4e-05,17.167792,[34 56] ; [ 17 109],[21.25 68.75] ; [29.75 96.25],1
1,p3,1,0.000723,11.429975,[41 52] ; [29 99],[29.45701357 63.54298643] ; [40.54298643 87.45701357],1
