,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
21,p9,1,0.0,212.592701,[32 83] ; [431  46],[89.94087838 25.05912162] ; [373.05912162 103.94087838],1
16,p2,1,0.0,87.177034,[57 61] ; [418  62],[93.72909699 24.27090301] ; [381.27090301  98.72909699],1
5,r3,1,0.0,79.357414,[85 32] ; [468  14],[108.01502504   8.98497496] ; [444.98497496  37.01502504],1
9,n6,1,0.0,75.987436,[64 52] ; [427  51],[95.88552189 20.11447811] ; [395.11447811  82.88552189],1
6,r4,1,0.0,65.355186,[72 46] ; [440  45],[100.19237148  17.80762852] ; [411.80762852  73.19237148],1
2,v4,1,0.0,55.857818,[87 29] ; [461  19],[106.65771812   9.34228188] ; [441.34228188  38.65771812],1
20,p8,1,0.0,31.404534,[29 87] ; [256 218],[56.03389831 59.96610169] ; [228.96610169 245.03389831],1
19,p7,1,0.0,28.320997,[42 75] ; [294 172],[67.43053173 49.56946827] ; [268.56946827 197.43053173],1
15,s8,1,1e-06,25.257831,[20 96] ; [204 277],[43.52428811 72.47571189] ; [180.47571189 300.52428811],1
4,r2,1,1e-06,23.171811,[94 21] ; [454  24],[106.27318718   8.72681282] ; [441.72681282  36.27318718],1
1,v2,1,3e-06,22.163795,[40 75] ; [277 191],[62.53001715 52.46998285] ; [254.46998285 213.53001715],1
3,r1,1,5e-06,20.858719,[69 47] ; [385  98],[87.91986644 28.08013356] ; [366.08013356 116.91986644],1
13,s6,1,6e-06,20.455558,[52 64] ; [321 155],[73.08783784 42.91216216] ; [299.91216216 176.08783784],1
17,p4,1,3.1e-05,17.359648,[44 73] ; [282 196],[64.10420168 52.89579832] ; [261.89579832 216.10420168],1
0,v1,1,4.3e-05,16.738296,[39 78] ; [256 214],[58.79897785 58.20102215] ; [236.20102215 233.79897785],1
8,n5,1,4.9e-05,16.503201,[65 51] ; [358 119],[82.74536256 33.25463744] ; [340.25463744 136.74536256],1
12,s5,1,6e-05,16.094153,[17 97] ; [160 308],[34.67010309 79.32989691] ; [142.32989691 325.67010309],1
7,n4,1,0.000119,14.811231,[69 47] ; [372 111],[85.40233723 30.59766277] ; [355.59766277 127.40233723],1
10,s1,1,0.000566,11.883824,[ 11 106] ; [ 12 463],[  4.54560811 112.45439189] ; [ 18.45439189 456.54560811],1
14,s7,1,0.000594,11.795041,[32 76] ; [223 243],[47.97909408 60.02090592] ; [207.02090592 258.97909408],1
18,p6,1,0.000679,11.54668,[20 94] ; [161 314],[35.03225806 78.96774194] ; [145.96774194 329.03225806],1
11,s2,1,0.000856,11.115619,[37 80] ; [233 245],[53.09243697 63.90756303] ; [216.90756303 261.09243697],1
