,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p12,1,3e-06,21.531209,[ 1 67] ; [3 4],[ 3.62666667 64.37333333] ; [0.37333333 6.62666667],1
0,p5,1,0.000401,12.529788,[ 3 64] ; [3 4],[ 5.43243243 61.56756757] ; [0.56756757 6.43243243],1
1,p8,1,0.000768,11.317495,[11 56] ; [5 2],[14.48648649 52.51351351] ; [1.51351351 5.48648649],1
