,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,33.84761,[191 215] ; [ 95 262],[152.18348624 253.81651376] ; [133.81651376 223.18348624],1
2,p8,1,0.0,31.346999,[255 150] ; [150 202],[216.67767503 188.32232497] ; [188.32232497 163.67767503],1
1,p7,1,0.0,28.856972,[300 105] ; [194 156],[264.99337748 140.00662252] ; [229.00662252 120.99337748],1
