,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p9,1,0.0,172.526333,[457  17] ; [66 60],[413.17  60.83] ; [109.83  16.17],1
8,r3,1,0.0,67.994204,[458  15] ; [98 33],[435.41059603  37.58940397] ; [120.58940397  10.41059603],1
9,r4,1,0.0,55.231034,[436  39] ; [88 44],[410.04942339  64.95057661] ; [113.95057661  18.04942339],1
10,n6,1,0.0,50.421543,[420  51] ; [82 48],[393.41430948  77.58569052] ; [108.58569052  21.41430948],1
11,p2,1,0.0,47.213116,[411  63] ; [78 52],[383.75165563  90.24834437] ; [105.24834437  24.75165563],1
5,v4,1,0.0,40.826443,[457  14] ; [107  24],[441.26910299  29.73089701] ; [122.73089701   8.26910299],1
13,p8,1,0.0,39.688425,[259 209] ; [31 98],[227.33668342 240.66331658] ; [62.66331658 66.33668342],1
7,r2,1,1e-06,25.047203,[451  18] ; [110  21],[438.515  30.485] ; [122.485   8.515],1
4,v2,1,3e-06,21.781175,[277 179] ; [49 81],[253.67918089 202.32081911] ; [72.32081911 57.67918089],1
1,a6,1,1.7e-05,18.476716,[334 140] ; [66 65],[313.38842975 160.61157025] ; [86.61157025 44.38842975],1
12,p7,1,5.4e-05,16.314139,[298 163] ; [58 71],[278.16271186 182.83728814] ; [77.83728814 51.16271186],1
3,d3,1,0.000406,12.506472,[345 129] ; [73 56],[328.57711443 145.42288557] ; [89.42288557 39.57711443],1
2,a7,1,0.000553,11.926906,[362 113] ; [80 51],[346.45214521 128.54785479] ; [95.54785479 35.45214521],1
0,a1,1,0.000669,11.574525,[ 14 461] ; [ 13 119],[ 21.12850082 453.87149918] ; [  5.87149918 126.12850082],1
6,r1,1,0.000729,11.414223,[381  92] ; [88 44],[366.67272727 106.32727273] ; [102.32727273  29.67272727],1
