,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p2,1,0.000141,14.486813,[55 60] ; [76 28],[68.78995434 46.21004566] ; [62.21004566 41.78995434],1
0,r3,1,0.00028,13.196928,[82 32] ; [94  9],[92.46082949 21.53917051] ; [83.53917051 19.46082949],1
1,r4,1,0.000823,11.188729,[69 46] ; [84 20],[80.34246575 34.65753425] ; [72.65753425 31.34246575],1
