,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
15,p9,1,0.0,96.947319,[32 75] ; [217  45],[72.20325203 34.79674797] ; [176.79674797  85.20325203],1
10,p2,1,0.0,32.333998,[59 52] ; [214  48],[81.24128686 29.75871314] ; [191.75871314  70.24128686],1
14,p8,1,0.0,31.64043,[30 79] ; [155 105],[54.64769648 54.35230352] ; [130.35230352 129.64769648],1
5,r3,1,0.0,26.773925,[85 26] ; [249  14],[99.12834225 11.87165775] ; [234.87165775  28.12834225],1
13,p7,1,0.0,25.625366,[48 62] ; [185  74],[69.45799458 40.54200542] ; [163.54200542  95.45799458],1
6,r4,1,1e-06,25.062718,[72 39] ; [232  34],[89.5066313 21.4933687] ; [214.4933687  51.5066313],1
7,n5,1,1e-06,24.00491,[61 50] ; [212  54],[80.37931034 30.62068966] ; [192.62068966  73.37931034],1
12,p4,1,1.4e-05,18.922175,[44 67] ; [169  95],[63.048 47.952] ; [149.952 114.048],1
8,n6,1,1.5e-05,18.724682,[65 46] ; [213  53],[81.85145889 29.14854111] ; [196.14854111  69.85145889],1
9,s8,1,2.2e-05,17.983907,[26 82] ; [126 137],[44.24797844 63.75202156] ; [107.75202156 155.24797844],1
3,v4,1,9.8e-05,15.178704,[88 22] ; [246  17],[98.49865952 11.50134048] ; [235.50134048  27.49865952],1
1,a5,1,0.000145,14.435157,[64 47] ; [205  61],[79.20159151 31.79840849] ; [189.79840849  76.20159151],1
0,a3,1,0.00016,14.25391,[61 50] ; [198  67],[76.46010638 34.53989362] ; [182.53989362  82.46010638],1
11,p3,1,0.000322,12.937171,[42 69] ; [153 110],[57.87433155 53.12566845] ; [137.12566845 125.87433155],1
2,v1,1,0.000804,11.232248,[40 71] ; [141 115],[54.74386921 56.25613079] ; [126.25613079 129.74386921],1
4,r1,1,0.000823,11.189562,[69 42] ; [208  56],[81.992 29.008] ; [195.008  68.992],1
