,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p10,1,0.0,56.411903,[407  63] ; [62 50],[378.74570447  91.25429553] ; [90.25429553 21.74570447],1
9,p9,1,0.0,43.392278,[424  46] ; [73 38],[402.04819277  67.95180723] ; [94.95180723 16.04819277],1
6,p2,1,0.0,37.437309,[412  61] ; [73 43],[389.48217317  83.51782683] ; [95.51782683 20.48217317],1
5,n6,1,0.0,33.595406,[420  51] ; [77 37],[400.14871795  70.85128205] ; [96.85128205 17.14871795],1
1,r3,1,0.0,26.395926,[461  14] ; [97 17],[450.  25.] ; [108.   6.],1
0,v4,1,5.7e-05,16.183555,[454  19] ; [99 16],[444.8452381  28.1547619] ; [108.1547619   6.8452381],1
2,r4,1,0.000108,14.988911,[433  45] ; [90 26],[420.86531987  57.13468013] ; [102.13468013  13.86531987],1
3,n4,1,0.000177,14.057442,[366 110] ; [68 46],[350.14237288 125.85762712] ; [83.85762712 30.14237288],1
4,n5,1,0.000373,12.660865,[351 119] ; [66 48],[335.59931507 134.40068493] ; [81.40068493 32.59931507],1
7,p4,1,0.000376,12.648787,[277 194] ; [46 68],[260.05641026 210.94358974] ; [62.94358974 51.05641026],1
8,p7,1,0.000401,12.526654,[289 170] ; [50 62],[272.5061296 186.4938704] ; [66.4938704 45.5061296],1
