,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,s2,1,8.9e-05,15.359385,[11  1] ; [35 70],[4.71794872 7.28205128] ; [41.28205128 63.71794872],1
2,s8,1,0.000192,13.909041,[10  2] ; [31 75],[4.16949153 7.83050847] ; [36.83050847 69.16949153],1
1,s7,1,0.00051,12.079722,[10  2] ; [33 70],[4.48695652 7.51304348] ; [38.51304348 64.48695652],1
3,p12,1,0.000922,10.978015,[3 9] ; [  3 103],[ 0.61016949 11.38983051] ; [  5.38983051 100.61016949],1
