,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,95.059243,[600  31] ; [74 38],[572.40107672  58.59892328] ; [101.59892328  10.40107672],1
6,p2,1,0.0,42.207835,[550  79] ; [74 43],[526.13404826 102.86595174] ; [97.86595174 19.13404826],1
5,n6,1,0.0,31.802471,[554  74] ; [78 37],[534.18034993  93.81965007] ; [97.81965007 17.18034993],1
1,r3,1,0.0,29.14252,[609  19] ; [98 17],[597.57200538  30.42799462] ; [109.42799462   5.57200538],1
4,n5,1,0.0,27.424234,[506 122] ; [67 48],[484.31224764 143.68775236] ; [88.68775236 26.31224764],1
9,p7,1,1e-06,23.867241,[424 191] ; [51 62],[401.2706044 213.7293956] ; [73.7293956 39.2706044],1
3,n4,1,1e-06,23.589248,[508 124] ; [68 46],[487.97855228 144.02144772] ; [88.02144772 25.97855228],1
8,p4,1,1e-06,23.224474,[407 222] ; [47 68],[383.82526882 245.17473118] ; [70.17473118 44.82526882],1
7,p3,1,3e-06,21.774272,[344 286] ; [36 80],[320.91152815 309.08847185] ; [59.08847185 56.91152815],1
0,v4,1,7e-06,20.068892,[602  23] ; [100  16],[592.10526316  32.89473684] ; [109.89473684   6.10526316],1
2,r4,1,1.1e-05,19.360148,[578  54] ; [91 26],[564.49666222  67.50333778] ; [104.50333778  12.49666222],1
10,p8,1,1.3e-05,19.063586,[370 253] ; [43 72],[348.64363144 274.35636856] ; [64.35636856 50.64363144],1
