,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,0.0,29.399659,[ 16 119] ; [29 33],[ 30.83756345 104.16243655] ; [14.16243655 47.83756345],1
1,p6,1,0.0,28.444211,[ 12 121] ; [26 37],[ 25.78571429 107.21428571] ; [12.21428571 50.78571429],1
0,p3,1,6.2e-05,16.047966,[ 29 105] ; [31 31],[41.02040816 92.97959184] ; [18.97959184 43.02040816],1
