,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,40.161498,[ 26 298] ; [29 55],[ 43.67647059 280.32352941] ; [11.32352941 72.67647059],1
2,p12,1,0.0,25.976958,[ 24 299] ; [23 61],[ 37.2997543 285.7002457] ; [ 9.7002457 74.2997543],1
1,p6,1,0.00039,12.580126,[146 174] ; [56 27],[160.39702233 159.60297767] ; [41.60297767 41.39702233],1
