,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,1.2e-05,19.107466,[41  6] ; [184 159],[27.11538462 19.88461538] ; [197.88461538 145.11538462],1
2,p8,1,0.000119,14.805371,[35 12] ; [151 188],[22.64766839 24.35233161] ; [163.35233161 175.64766839],1
0,p1,1,0.000486,12.170199,[11 37] ; [ 25 316],[ 4.44215938 43.55784062] ; [ 31.55784062 309.44215938],1
