,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,0.000118,14.820497,[19 42] ; [72 45],[31.18539326 29.81460674] ; [59.81460674 57.18539326],1
0,p6,1,0.000307,13.024304,[13 48] ; [58 60],[24.19553073 36.80446927] ; [46.80446927 71.19553073],1
