,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,35.643449,[ 33 190] ; [59 78],[ 56.98888889 166.01111111] ; [ 35.01111111 101.98888889],1
1,p7,1,0.0,31.519406,[ 86 127] ; [98 40],[111.65811966 101.34188034] ; [72.34188034 65.65811966],1
2,p8,1,1e-06,23.427411,[ 69 151] ; [79 59],[ 90.94972067 129.05027933] ; [57.05027933 80.94972067],1
