,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,s2,1,0.0,95.36948,[ 65 286] ; [366 374],[138.66269478 212.33730522] ; [292.33730522 447.66269478],1
11,s3,1,0.0,81.300877,[ 92 257] ; [407 325],[161.10175763 187.89824237] ; [337.89824237 394.10175763],1
15,s8,1,0.0,71.981295,[ 64 290] ; [330 414],[127.0273224 226.9726776] ; [266.9726776 477.0273224],1
14,s7,1,0.0,64.227144,[ 73 258] ; [346 373],[132.0847619 198.9152381] ; [286.9152381 432.0847619],1
24,p10,1,0.0,55.846485,[229 119] ; [632 107],[275.64673413  72.35326587] ; [585.35326587 153.64673413],1
13,s5,1,0.0,53.463087,[ 42 303] ; [240 481],[ 91.26641651 253.73358349] ; [190.73358349 530.26641651],1
23,p9,1,0.0,53.236822,[240 106] ; [648  91],[283.17788018  62.82211982] ; [604.82211982 134.17788018],1
6,r4,1,0.0,44.015844,[262  92] ; [672  79],[299.21809955  54.78190045] ; [634.78190045 116.21809955],1
5,r3,1,0.0,43.104215,[299  52] ; [717  28],[325.37956204  25.62043796] ; [690.62043796  54.37956204],1
18,p4,1,0.0,33.372677,[147 202] ; [451 291],[191.29422548 157.70577452] ; [406.70577452 335.29422548],1
9,n6,1,0.0,31.962267,[252  99] ; [640 104],[285.92876712  65.07123288] ; [606.07123288 137.92876712],1
16,p2,1,0.0,27.844335,[251  99] ; [632 110],[283.01282051  66.98717949] ; [599.98717949 142.01282051],1
2,v4,1,0.0,26.37923,[302  48] ; [707  36],[323.10155535  26.89844465] ; [685.89844465  57.10155535],1
21,p7,1,5e-06,20.768739,[179 168] ; [479 246],[212.99067164 134.00932836] ; [445.00932836 279.99067164],1
22,p8,1,1.1e-05,19.400196,[145 203] ; [411 323],[178.82439926 169.17560074] ; [377.17560074 356.82439926],1
3,r1,1,1.4e-05,18.807903,[237 115] ; [593 154],[265.84167425  86.15832575] ; [564.15832575 182.84167425],1
8,n5,1,1.9e-05,18.281341,[226 125] ; [570 173],[255.38939671  95.61060329] ; [540.61060329 202.38939671],1
20,p6,1,2.7e-05,17.614915,[ 83 262] ; [271 463],[113.18813716 231.81186284] ; [240.81186284 493.18813716],1
17,p3,1,3.7e-05,17.015065,[130 220] ; [376 369],[161.73515982 188.26484018] ; [344.26484018 400.73515982],1
1,v1,1,4.5e-05,16.655307,[144 204] ; [397 329],[175.29608939 172.70391061] ; [365.70391061 360.29608939],1
25,p12,1,0.000111,14.941805,[  9 341] ; [ 66 674],[ 24.08256881 325.91743119] ; [ 50.91743119 689.08256881],1
19,p5,1,0.000166,14.177757,[ 18 331] ; [ 93 648],[ 35.54036697 313.45963303] ; [ 75.45963303 665.54036697],1
7,n4,1,0.000196,13.868605,[241 112] ; [589 160],[265.87114338  87.12885662] ; [564.12885662 184.87114338],1
12,s4,1,0.000603,11.767939,[ 29 325] ; [116 622],[ 47.00549451 306.99450549] ; [ 97.99450549 640.00549451],1
4,r2,1,0.000626,11.696884,[303  44] ; [692  48],[317.63109476  29.36890524] ; [677.36890524  62.63109476],1
0,a5,1,0.00092,10.982006,[225 129] ; [550 200],[248.50543478 105.49456522] ; [526.49456522 223.50543478],1
