,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,279.996895,[399  13] ; [28 74],[342.26459144  69.73540856] ; [84.73540856 17.26459144],1
19,p2,1,0.0,69.203259,[366  46] ; [57 49],[336.44015444  75.55984556] ; [86.55984556 19.44015444],1
14,n6,1,0.0,68.478267,[371  38] ; [61 45],[343.08349515  65.91650485] ; [88.91650485 17.08349515],1
11,r3,1,0.0,63.681277,[402  10] ; [80 26],[383.36679537  28.63320463] ; [98.63320463  7.36679537],1
12,r4,1,0.0,60.257042,[381  32] ; [67 39],[356.50096339  56.49903661] ; [91.49903661 14.50096339],1
8,v4,1,0.0,45.432766,[399  10] ; [84 21],[384.33268482  24.66731518] ; [98.66731518  6.33268482],1
22,p8,1,0.0,33.242493,[234 172] ; [27 77],[207.77647059 198.22352941] ; [53.22352941 50.77647059],1
10,r2,1,0.0,28.994275,[391  18] ; [84 21],[377.96692607  31.03307393] ; [97.03307393  7.96692607],1
13,n5,1,1e-06,24.449374,[318  91] ; [57 49],[297.81553398 111.18446602] ; [77.18446602 28.81553398],1
2,a7,1,3e-06,21.633458,[313 100] ; [56 50],[293.63583815 119.36416185] ; [75.36416185 30.63583815],1
7,v2,1,4e-06,21.222798,[243 154] ; [37 66],[222.32 174.68] ; [57.68 45.32],1
20,p4,1,7e-06,20.321017,[258 152] ; [41 65],[237.57751938 172.42248062] ; [61.42248062 44.57751938],1
16,s6,1,9e-06,19.718979,[288 119] ; [49 54],[268.93921569 138.06078431] ; [68.06078431 34.93921569],1
9,r1,1,1e-05,19.564574,[332  79] ; [64 42],[314.80851064  96.19148936] ; [81.19148936 24.80851064],1
18,s8,1,2.5e-05,17.739223,[185 225] ; [23 80],[166.23781676 243.76218324] ; [41.76218324 61.23781676],1
6,v1,1,3.1e-05,17.337626,[231 170] ; [37 69],[211.96844181 189.03155819] ; [56.03155819 49.96844181],1
21,p7,1,3.4e-05,17.16888,[266 135] ; [47 59],[247.56015779 153.43984221] ; [65.43984221 40.56015779],1
17,s7,1,5.3e-05,16.354072,[201 198] ; [26 69],[183.34615385 215.65384615] ; [43.65384615 51.34615385],1
1,a6,1,9.3e-05,15.266266,[291 121] ; [53 52],[274.13539652 137.86460348] ; [69.86460348 35.13539652],1
4,d3,1,0.00011,14.954304,[297 115] ; [55 50],[280.5106383 131.4893617] ; [71.4893617 33.5106383],1
15,s2,1,0.000188,13.945618,[212 197] ; [33 72],[194.95136187 214.04863813] ; [50.04863813 54.95136187],1
3,d1,1,0.000312,12.998099,[248 165] ; [43 63],[231.56647399 181.43352601] ; [59.43352601 46.56647399],1
0,a5,1,0.000346,12.8041,[307 106] ; [60 46],[292.04431599 120.95568401] ; [74.95568401 31.04431599],1
5,d5,1,0.000573,11.863091,[341  71] ; [71 34],[328.32495164  83.67504836] ; [83.67504836 21.32495164],1
