,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,38.707026,[112 190] ; [116  58],[144.65546218 157.34453782] ; [83.34453782 90.65546218],1
1,p6,1,0.0,37.491457,[ 45 269] ; [ 67 106],[ 72.21355236 241.78644764] ; [ 39.78644764 133.21355236],1
3,p8,1,2e-06,22.868245,[ 87 224] ; [86 87],[111.16322314 199.83677686] ; [ 61.83677686 111.16322314],1
0,p2,1,4e-06,21.354125,[210 106] ; [150  25],[231.6904277  84.3095723] ; [128.3095723  46.6904277],1
