,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,1e-06,23.840278,[21 63] ; [183 151],[40.99521531 43.00478469] ; [163.00478469 170.99521531],1
1,p8,1,2e-06,22.739246,[39 48] ; [241  94],[57.72511848 29.27488152] ; [222.27488152 112.72511848],1
3,p10,1,7.9e-05,15.583317,[64 23] ; [300  34],[75.22090261 11.77909739] ; [288.77909739  45.22090261],1
2,p9,1,8e-05,15.552401,[67 20] ; [308  27],[77.31042654  9.68957346] ; [297.68957346  37.31042654],1
