,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p9,1,0.0,173.802238,[693  45] ; [66 60],[648.3125  89.6875] ; [110.6875  15.3125],1
5,r3,1,0.0,62.558801,[700  36] ; [98 33],[677.42560554  58.57439446] ; [120.57439446  10.42560554],1
6,r4,1,0.0,50.206162,[664  76] ; [88 44],[638.16513761 101.83486239] ; [113.83486239  18.16513761],1
10,p2,1,0.0,47.786593,[629 107] ; [78 52],[600.86836028 135.13163972] ; [106.13163972  23.86836028],1
13,p8,1,0.0,43.177034,[405 326] ; [31 98],[370.6 360.4] ; [65.4 63.6],1
9,n6,1,0.0,40.815398,[632 102] ; [82 48],[606.56944444 127.43055556] ; [107.43055556  22.56944444],1
2,v4,1,0.0,34.515053,[701  33] ; [107  24],[685.63236994  48.36763006] ; [122.36763006   8.63236994],1
12,p7,1,2e-06,22.203625,[480 240] ; [58 71],[456.25441696 263.74558304] ; [81.74558304 47.25441696],1
4,r2,1,3.1e-05,17.346647,[689  42] ; [110  21],[677.57424594  53.42575406] ; [121.42575406   9.57424594],1
1,v2,1,3.2e-05,17.317626,[408 302] ; [49 81],[386.27380952 323.72619048] ; [70.72619048 59.27380952],1
0,a6,1,8e-05,15.550977,[503 235] ; [66 65],[483.22439586 254.77560414] ; [85.77560414 45.22439586],1
8,n5,1,0.00022,13.653924,[571 164] ; [82 49],[554.22055427 180.77944573] ; [98.77944573 32.22055427],1
11,p4,1,0.000263,13.319939,[454 282] ; [58 72],[435.1408776 300.8591224] ; [76.8591224 53.1408776],1
3,r1,1,0.000625,11.700491,[590 147] ; [88 44],[575.01265823 161.98734177] ; [102.98734177  29.01265823],1
7,n4,1,0.000776,11.297506,[577 163] ; [85 47],[561.78899083 178.21100917] ; [100.21100917  31.78899083],1
