,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
9,s8,1,0.0,26.828941,[23 80] ; [12  1],[31.07758621 71.92241379] ; [3.92241379 9.07758621],1
11,p12,1,7e-06,20.175959,[  2 104] ; [4 9],[  5.34453782 100.65546218] ; [ 0.65546218 12.34453782],1
0,b2,1,4e-05,16.850959,[19 43] ; [12  1],[25.62666667 36.37333333] ; [5.37333333 7.62666667],1
1,b3,1,4e-05,16.850959,[19 43] ; [12  1],[25.62666667 36.37333333] ; [5.37333333 7.62666667],1
8,s7,1,4.5e-05,16.639319,[26 69] ; [11  2],[32.5462963 62.4537037] ; [4.4537037 8.5462963],1
10,p5,1,5.3e-05,16.3423,[ 6 99] ; [5 7],[ 9.87179487 95.12820513] ; [ 1.12820513 10.87179487],1
5,v3,1,0.00016,14.245403,[28 74] ; [8 1],[33.08108108 68.91891892] ; [2.91891892 6.08108108],1
6,s2,1,0.000183,13.993882,[33 72] ; [11  2],[39.15254237 65.84745763] ; [4.84745763 8.15254237],1
7,s3,1,0.000271,13.262609,[41 64] ; [12  1],[47.16101695 57.83898305] ; [5.83898305 7.16101695],1
3,d1,1,0.000413,12.471944,[43 63] ; [12  1],[48.99159664 57.00840336] ; [6.00840336 6.99159664],1
2,a2,1,0.000619,11.717986,[20 86] ; [8 5],[24.94117647 81.05882353] ; [3.05882353 9.94117647],1
4,v1,1,0.000663,11.591028,[37 69] ; [9 1],[42.03448276 63.96551724] ; [3.96551724 6.03448276],1
