,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,6.9e-05,15.829585,[70 64] ; [232  92],[88.3580786 45.6419214] ; [213.6419214 110.3580786],1
2,p11,1,0.000125,14.716583,[68 73] ; [225 111],[86.61006289 54.38993711] ; [206.38993711 129.61006289],1
1,p10,1,0.000863,11.101304,[68 70] ; [217 113],[84.03846154 53.96153846] ; [200.96153846 129.03846154],1
