,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
20,p9,1,0.0,140.848093,[201  18] ; [28 74],[156.23364486  62.76635514] ; [72.76635514 29.23364486],1
9,n5,1,0.0,39.591934,[188  31] ; [57 49],[165.09230769  53.90769231] ; [79.90769231 26.09230769],1
19,p8,1,0.0,37.90987,[136  81] ; [27 77],[110.19003115 106.80996885] ; [52.80996885 51.19003115],1
15,p2,1,0.0,36.173788,[184  33] ; [57 49],[161.91021672  55.08978328] ; [79.08978328 26.91021672],1
7,r4,1,0.0,33.515287,[197  22] ; [67 39],[177.89538462  41.10461538] ; [86.10461538 19.89538462],1
6,r3,1,0.0,30.429222,[207   9] ; [80 26],[192.52173913  23.47826087] ; [94.47826087 11.52173913],1
18,p7,1,0.0,26.781252,[158  56] ; [47 59],[137.09375  76.90625] ; [67.90625 38.09375],1
10,n6,1,0.0,25.833818,[183  36] ; [61 45],[164.41846154  54.58153846] ; [79.58153846 26.41846154],1
17,p4,1,0.0,25.349986,[149  70] ; [41 65],[128.03076923  90.96923077] ; [61.96923077 44.03076923],1
14,s8,1,1e-06,23.507133,[111 107] ; [23 80],[ 91.00311526 126.99688474] ; [42.99688474 60.00311526],1
0,a3,1,4e-06,21.16034,[173  45] ; [58 48],[155.42592593  62.57407407] ; [75.57407407 30.42592593],1
1,a5,1,7e-06,20.280557,[176  43] ; [60 46],[159.02769231  59.97230769] ; [76.97230769 29.02769231],1
13,s7,1,4e-05,16.860504,[110  99] ; [26 69],[ 93.5 115.5] ; [42.5 52.5],1
16,p3,1,4.1e-05,16.802811,[135  83] ; [40 66],[117.74691358 100.25308642] ; [57.25308642 48.74691358],1
8,n4,1,0.000118,14.832104,[184  35] ; [69 37],[170.48307692  48.51692308] ; [82.51692308 23.48307692],1
4,v4,1,0.000134,14.584571,[203  13] ; [84 21],[193.12149533  22.87850467] ; [93.87850467 11.12149533],1
12,s3,1,0.000137,14.539229,[132  82] ; [41 64],[116.05642633  97.94357367] ; [56.94357367 48.05642633],1
5,r1,1,0.000147,14.408158,[174  43] ; [64 42],[159.89473684  57.10526316] ; [78.10526316 27.89473684],1
11,s2,1,0.000174,14.095288,[116 100] ; [33 72],[100.26168224 115.73831776] ; [48.73831776 56.26168224],1
3,v1,1,0.000407,12.501426,[117  92] ; [37 69],[102.17777778 106.82222222] ; [51.82222222 54.17777778],1
2,d1,1,0.000834,11.163137,[132  87] ; [43 63],[117.92307692 101.07692308] ; [57.07692308 48.92307692],1
