,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,340.602141,[32 83] ; [693  45],[97.74325909 17.25674091] ; [627.25674091 110.74325909],1
17,p2,1,0.0,88.851054,[57 61] ; [629 107],[94.78688525 23.21311475] ; [591.21311475 144.78688525],1
6,r3,1,0.0,69.409629,[85 32] ; [700  36],[107.67291911   9.32708089] ; [677.32708089  58.67291911],1
7,r4,1,0.0,68.788189,[72 46] ; [664  76],[101.22144522  16.77855478] ; [634.77855478 105.22144522],1
10,n6,1,0.0,64.600301,[64 52] ; [632 102],[94.98352941 21.01647059] ; [601.01647059 132.98352941],1
3,v4,1,0.0,62.278185,[87 29] ; [701  33],[107.53882353   8.46117647] ; [680.46117647  53.53882353],1
21,p7,1,0.0,40.597196,[42 75] ; [480 240],[72.96774194 44.03225806] ; [449.03225806 270.96774194],1
22,p8,1,0.0,37.039727,[29 87] ; [405 326],[59.43801653 56.56198347] ; [374.56198347 356.43801653],1
16,s8,1,0.0,34.429691,[20 96] ; [340 396],[49.01408451 66.98591549] ; [310.98591549 425.01408451],1
9,n5,1,1e-06,24.877063,[65 51] ; [571 164],[86.693302 29.306698] ; [549.306698 185.693302],1
14,s6,1,1e-06,24.723021,[52 64] ; [496 228],[75.67619048 40.32380952] ; [472.32380952 251.67619048],1
4,r1,1,1e-06,24.139037,[69 47] ; [590 147],[89.61781946 26.38218054] ; [569.38218054 167.61781946],1
19,p4,1,1e-06,24.087618,[44 73] ; [454 282],[68.30715123 48.69284877] ; [429.69284877 306.30715123],1
5,r2,1,2e-06,22.582233,[94 21] ; [689  42],[106.43617021   8.56382979] ; [676.56382979  54.43617021],1
2,v2,1,6e-06,20.519197,[40 75] ; [408 302],[62.44848485 52.55151515] ; [385.55151515 324.44848485],1
13,s5,1,8e-06,20.039163,[17 97] ; [258 455],[37.90810157 76.09189843] ; [237.09189843 475.90810157],1
1,v1,1,1.2e-05,19.157755,[39 78] ; [398 324],[60.94040524 56.05959476] ; [376.05959476 345.94040524],1
0,b1,1,1.5e-05,18.788836,[68 50] ; [271 469],[46.62237762 71.37762238] ; [292.37762238 447.62237762],1
8,n4,1,1.7e-05,18.518063,[69 47] ; [577 163],[87.54205607 28.45794393] ; [558.45794393 181.54205607],1
12,s2,1,2.2e-05,17.972903,[37 80] ; [387 347],[58.29377203 58.70622797] ; [365.70622797 368.29377203],1
20,p6,1,2.9e-05,17.492088,[20 94] ; [275 456],[39.79881657 74.20118343] ; [255.20118343 475.79881657],1
15,s7,1,4.2e-05,16.7884,[32 76] ; [359 348],[51.81349693 56.18650307] ; [339.18650307 367.81349693],1
11,s1,1,0.000888,11.047162,[ 11 106] ; [ 22 710],[  4.54770318 112.45229682] ; [ 28.45229682 703.54770318],1
18,p3,1,0.000901,11.021418,[41 76] ; [380 357],[57.67798595 59.32201405] ; [363.32201405 373.67798595],1
