,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,3e-06,21.868475,[216  72] ; [20 28],[202.28571429  85.71428571] ; [33.71428571 14.28571429],1
3,p10,1,5.9e-05,16.139771,[250  39] ; [31 18],[240.26331361  48.73668639] ; [40.73668639  8.26331361],1
2,p9,1,6e-05,16.118099,[258  32] ; [33 16],[248.9380531  41.0619469] ; [42.0619469  6.9380531],1
1,p8,1,0.000218,13.666073,[192  97] ; [19 30],[180.4112426 108.5887574] ; [30.5887574 18.4112426],1
