,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,r3,1,0.0,36.394685,[402  10] ; [48 12],[392.79661017  19.20338983] ; [57.20338983  2.79661017],1
4,p9,1,4e-06,21.141361,[399  13] ; [49 10],[391.88110403  20.11889597] ; [56.11889597  2.88110403],1
1,r4,1,6e-06,20.563871,[381  32] ; [44 16],[371.08879493  41.91120507] ; [53.91120507  6.08879493],1
2,n6,1,0.000197,13.86422,[371  38] ; [43 15],[362.58244111  46.41755889] ; [51.41755889  6.58244111],1
3,p8,1,0.000418,12.450376,[234 172] ; [20 40],[221.29613734 184.70386266] ; [32.70386266 27.29613734],1
